Full Name,Student ID,Section,Course
"McLaggen, Cormac","HP-0049","Year 6","Gryffindor"
"Vane, Romilda","HP-0050","Year 4","Gryffindor"
"Midgen, Eloise","HP-0051","Year 5","Gryffindor"
"Bell, Katie","HP-0052","Year 7","Gryffindor"
"Robins, Demelza","HP-0053","Year 4","Gryffindor"
"Bobbin, Melinda","HP-0054","Year 6","Hufflepuff"
"Jones, Megan","HP-0055","Year 5","Hufflepuff"
"Madley, Laura","HP-0056","Year 5","Hufflepuff"
"Perks, Sally-Anne","HP-0057","Year 5","Gryffindor"
"Quirke, Orla","HP-0058","Year 5","Ravenclaw"
"MacDougal, Morag","HP-0059","Year 5","Ravenclaw"
"Entwhistle, Kevin","HP-0060","Year 5","Ravenclaw"
"Li, Su","HP-0061","Year 5","Ravenclaw"
"Cornfoot, Stephen","HP-0062","Year 5","Ravenclaw"
"Smith, Sally","HP-0063","Year 5","Gryffindor"
"Carmichael, Eddie","HP-0064","Year 7","Ravenclaw"
"Pritchard, Graham","HP-0065","Year 4","Slytherin"
"Baddock, Malcolm","HP-0066","Year 4","Slytherin"
"Harper","HP-0067","Year 5","Slytherin"
"Dingle, Harold","HP-0068","Year 5","Slytherin"
"Montague","HP-0069","Year 7","Slytherin"
"Warrington","HP-0070","Year 7","Slytherin"
"Warrington, Cassius","HP-0071","Year 7","Slytherin"
"Bletchley, Miles","HP-0072","Year 7","Slytherin"
"Urquhart","HP-0073","Year 6","Slytherin"
"Vaisey","HP-0074","Year 6","Slytherin"
"Derek","HP-0076","Year 4","Unknown"
"Creevey, Dennis","HP-0077","Year 3","Gryffindor"
"Creevey, Colin","HP-0078","Year 5","Gryffindor"
"Potter, Albus Severus","HP-0079","Year 1","Slytherin"
"Malfoy, Scorpius","HP-0080","Year 1","Slytherin"
"Granger-Weasley, Rose","HP-0081","Year 1","Gryffindor"
"Fredericks, Yann","HP-0082","Year 1","Hufflepuff"
"Chapman, Polly","HP-0083","Year 2","Slytherin"
"Bowker Jr., Craig","HP-0084","Year 3","Hufflepuff"
"Jenkins, Karl","HP-0085","Year 2","Gryffindor"
"Lexie","HP-0086","Year 2","Ravenclaw"
"Balthazar","HP-0087","Year 3","Slytherin"
"Potter, Harry","HP-0001","Year 5","Gryffindor"
"Granger, Hermione","HP-0002","Year 5","Gryffindor"
"Weasley, Ron","HP-0003","Year 5","Gryffindor"
"Longbottom, Neville","HP-0004","Year 5","Gryffindor"
"Thomas, Dean","HP-0005","Year 5","Gryffindor"
"Finnigan, Seamus","HP-0006","Year 5","Gryffindor"
"Brown, Lavender","HP-0007","Year 5","Gryffindor"
"Patil, Parvati","HP-0008","Year 5","Gryffindor"
"Weasley, Ginny","HP-0009","Year 4","Gryffindor"
"Johnson, Angelina","HP-0010","Year 7","Gryffindor"
"Spinnet, Alicia","HP-0011","Year 7","Gryffindor"
"Jordan, Lee","HP-0012","Year 7","Gryffindor"
"Wood, Oliver","HP-0013","Year 7","Gryffindor"
"Diggory, Cedric","HP-0014","Year 6","Hufflepuff"
"Abbott, Hannah","HP-0015","Year 5","Hufflepuff"
"Macmillan, Ernie","HP-0016","Year 5","Hufflepuff"
"Bones, Susan","HP-0017","Year 5","Hufflepuff"
"Finch-Fletchley, Justin","HP-0018","Year 5","Hufflepuff"
"Smith, Zacharias","HP-0019","Year 5","Hufflepuff"
"Chang, Cho","HP-0020","Year 6","Ravenclaw"
"Lovegood, Luna","HP-0021","Year 4","Ravenclaw"
"Patil, Padma","HP-0022","Year 5","Ravenclaw"
"Corner, Michael","HP-0023","Year 5","Ravenclaw"
"Boot, Terry","HP-0024","Year 5","Ravenclaw"
"Goldstein, Anthony","HP-0025","Year 5","Ravenclaw"
"Turpin, Lisa","HP-0026","Year 5","Ravenclaw"
"Edgecombe, Marietta","HP-0027","Year 6","Ravenclaw"
"Malfoy, Draco","HP-0028","Year 5","Slytherin"
"Parkinson, Pansy","HP-0029","Year 5","Slytherin"
"Crabbe, Vincent","HP-0030","Year 5","Slytherin"
"Goyle, Gregory","HP-0031","Year 5","Slytherin"
"Nott, Theodore","HP-0032","Year 5","Slytherin"
"Zabini, Blaise","HP-0033","Year 5","Slytherin"
"Bulstrode, Millicent","HP-0034","Year 5","Slytherin"
"Greengrass, Daphne","HP-0035","Year 5","Slytherin"
"Davis, Tracey","HP-0036","Year 5","Slytherin"
"Greengrass, Astoria","HP-0037","Year 6","Slytherin"
"Flint, Marcus","HP-0038","Year 7","Slytherin"
"Pucey, Adrian","HP-0039","Year 7","Slytherin"
"Higgs, Terence","HP-0040","Year 7","Slytherin"
"Davies, Roger","HP-0041","Year 7","Ravenclaw"
