Full Name,Student ID,Section,Course
"Aslan","23-11797","Witch 4","Magical Studies"
"Pevensie, Peter","23-11798","Witch 4","Magical Studies"
"Pevensie, Susan","23-11799","Witch 4","Magical Studies"
"Pevensie, Edmund","23-11800","Witch 4","Magical Studies"
"Pevensie, Lucy","23-11801","Witch 4","Magical Studies"
"Tumnus, Mr.","23-11802","Witch 4","Magical Studies"
"Reepicheep","23-11803","Witch 4","Magical Studies"
"Scrubb, Eustace","23-11804","Witch 4","Magical Studies"
"Kirke, Digory","23-11805","Witch 4","Magical Studies"
"Jadis, the White Witch","23-11806","Witch 4","Magical Studies"
"Pole, Jill","23-11807","Witch 4","Magical Studies"
"Trumpkin","23-11808","Witch 4","Magical Studies"
"Caspian, Prince","23-11809","Witch 4","Magical Studies"
