Full Name,Student ID,Section,Course
"Aslan","25-1234060","Witch 4","Magical Studies"
"Pevensie, Peter","25-1234061","Witch 4","Magical Studies"
"Pevensie, Susan","25-1234062","Witch 4","Magical Studies"
"Pevensie, Edmund","25-1234063","Witch 4","Magical Studies"
"Pevensie, Lucy","25-1234064","Witch 4","Magical Studies"
"Tumnus, Mr.","25-1234065","Witch 4","Magical Studies"
"Reepicheep","25-1234066","Witch 4","Magical Studies"
"Scrubb, Eustace","25-1234067","Witch 4","Magical Studies"
"Kirke, Digory","25-1234068","Witch 4","Magical Studies"
"Jadis, the White Witch","25-1234069","Witch 4","Magical Studies"
